idUtil;pseudo;mdp;email;role
60;Kirestin;OVL31APD8YP;kirestin6189@yahoo.com;user
61;Colorado;OWB04MJK5TS;colorado3688@yahoo.edu;user
62;Brynn;FOU34VJX3XR;brynn5227@outlook.com;user
63;Fatima;PNJ57VKG5NS;fatima7969@outlook.couk;user
64;Neil;CJM73YVJ3RR;neil8525@etuuparis.couk;user
65;Theodore;SKU86IXG5MU;theodore@hotmail.couk;user
66;Chava;JAN59SMZ9UH;chava6772@hotmail.couk;user
67;Dennis;GMF35OQI7LG;dennis@etuuparis.org;user
68;Hakeem;EHK22QHL8YM;hakeem429@etuuparis.fr;user
69;Lenore;ZJR01YJY8EB;lenore3791@hotmail.couk;user
70;Phelan;VDS74GJG7RJ;phelan@yahoo.fr;admin
71;Inga;IFY63QOB1ZM;inga@hotmail.net;admin
72;Portia;ZRK93NQJ8OX;portia3180@yahoo.couk;user
73;Grady;ISV86FIG9IE;grady1345@outlook.org;user
74;Igor;ZVO12NXC0IP;igor@yahoo.net;user
75;Shelby;DVN80HDC0LG;shelby@outlook.org;user
76;Bree;VCF39YOO4TT;bree3782@yahoo.com;user
77;Petra;CXM25QNM2CX;petra@hotmail.couk;user
78;Benedict;HSG14HYD7HR;benedict8941@hotmail.edu;user
79;Reese;GFU62HOV0YL;reese9170@etuuparis.edu;admin
80;Yvette;LQR58CCQ2PI;yvette6107@google.couk;admin
81;Natalie;CSK36XOI3DP;natalie1460@outlook.org;user
82;Martin;YTJ67DXH7GY;martin8227@hotmail.org;user
83;Hoyt;VDS08WXS3SJ;hoyt@yahoo.net;admin
84;Jane;CXX73PGA6GW;jane@outlook.edu;user
85;Lev;LYS03KNR2XI;lev6454@hotmail.org;admin
86;Jameson;MDN56PGN0TQ;jameson451@hotmail.com;admin
87;Levi;DTL27BGR3LS;levi6276@outlook.net;user
88;Jana;ATH77OKO1JO;jana9484@etuuparis.com;user
89;Genevieve;TNK73CXS1SY;genevieve8194@hotmail.edu;user
90;Tad;MLW61MZR4GD;tad6357@hotmail.edu;admin
91;Dominique;QMR02SBN9BG;dominique3146@etuuparis.org;user
92;Xavier;BDR40KIW4YS;xavier2880@google.couk;user
93;Ria;NHH12LIK5PF;ria2333@outlook.couk;admin
94;Hayes;MSC51WWQ2BV;hayes9647@yahoo.fr;user
95;Beau;RBS63GWM5GH;beau9721@google.net;user
96;Brock;YFM65LVX2VI;brock@etuuparis.edu;user
97;Germane;IHN26GUX5KB;germane@hotmail.couk;user
98;Barclay;VYK34BQE8WX;barclay4787@etuuparis.net;admin
99;Kibo;CKS41XON6PV;kibo2115@google.net;user
100;Shaine;CKM47EDS6NF;shaine@hotmail.net;user
